time [ms]	Pressure [Hgmm]	illuminance [lux]
15.57 	 61.60 	 0.85
15.60 	 58.80 	 1.02
15.62 	 62.40 	 1.09
15.65 	 59.10 	 1.03
15.68 	 63.80 	 0.84
15.70 	 61.00 	 0.54
15.72 	 62.40 	 0.18
15.75 	 63.10 	 -0.20
15.78 	 63.10 	 -0.52
15.80 	 62.70 	 -0.72
15.82 	 62.40 	 -0.78
15.85 	 62.10 	 -0.71
15.88 	 61.70 	 -0.57
15.90 	 63.80 	 -0.41
15.93 	 60.90 	 -0.30
15.95 	 64.80 	 -0.26
15.97 	 60.70 	 -0.28
16.00 	 64.40 	 -0.35
16.02 	 62.00 	 -0.43
16.05 	 66.10 	 -0.49
16.07 	 62.10 	 -0.48
16.10 	 66.30 	 -0.36
16.12 	 63.10 	 -0.11
16.15 	 65.30 	 0.24
16.18 	 63.70 	 0.65
16.20 	 64.10 	 1.04
16.23 	 63.80 	 1.33
16.25 	 65.60 	 1.50
16.27 	 63.40 	 1.54
16.30 	 66.90 	 1.43
16.32 	 63.20 	 1.19
16.35 	 68.10 	 0.82
16.38 	 65.40 	 0.37
16.40 	 65.80 	 -0.10
16.43 	 65.50 	 -0.51
16.45 	 65.50 	 -0.80
16.48 	 65.20 	 -0.94
16.50 	 67.30 	 -0.91
16.52 	 64.40 	 -0.76
16.55 	 68.00 	 -0.54
16.57 	 64.20 	 -0.30
16.60 	 68.20 	 -0.13
16.62 	 64.40 	 -0.08
16.65 	 68.50 	 -0.15
16.68 	 64.50 	 -0.31
16.70 	 68.50 	 -0.48
16.73 	 64.40 	 -0.57
16.75 	 68.20 	 -0.54
16.77 	 64.20 	 -0.37
16.80 	 67.60 	 -0.09
16.82 	 64.20 	 0.24
16.85 	 68.50 	 0.57
16.88 	 64.80 	 0.83
16.90 	 68.50 	 0.95
16.93 	 66.20 	 0.89
16.95 	 69.90 	 0.65
16.98 	 68.20 	 0.25
17.00 	 70.10 	 -0.20
17.02 	 69.10 	 -0.60
17.05 	 69.80 	 -0.88
17.07 	 69.40 	 -1.01
17.10 	 68.80 	 -0.97
17.12 	 70.40 	 -0.82
17.15 	 68.00 	 -0.59
17.18 	 71.50 	 -0.34
17.20 	 67.70 	 -0.12
17.23 	 71.60 	 0.01
17.25 	 68.10 	 0.05
17.27 	 71.60 	 0.02
17.30 	 68.00 	 -0.03
17.32 	 72.50 	 -0.04
17.35 	 69.00 	 0.00
17.38 	 72.30 	 0.13
17.40 	 70.20 	 0.35
17.43 	 73.30 	 0.65
17.45 	 70.90 	 1.00
17.48 	 72.30 	 1.35
17.50 	 70.80 	 1.61
17.52 	 75.20 	 1.69
17.55 	 72.00 	 1.55
17.57 	 72.50 	 1.17
17.60 	 73.40 	 0.61
17.62 	 73.40 	 -0.01
17.65 	 73.20 	 -0.57
17.68 	 73.10 	 -0.99
17.70 	 72.40 	 -1.21
17.73 	 72.10 	 -1.22
17.75 	 75.40 	 -1.07
